embedding_id	entity_id	entity_name	entity_type	embedding
1	MESH:C000601183	persenone C	Chemical	0.07059707|-0.56915766|-0.5626945|0.27874628|-0.5265948|-0.6855229|0.6542386|0.5624467|-0.5434572|-0.73964125|0.552364|-0.65471774|-0.10596689|0.48061883|0.3868372|0.14533314|0.40694833|0.50796413|-0.5141981|-0.18698941|-0.41775706|-0.68497753|-0.64814043|0.7331922|-0.35140345|0.81766695|-0.38092053|0.40774834|-0.371985|0.4071174|0.54403293|-0.43069738|0.5230291|-0.5912235|-0.25412023|-0.6656872|-0.35636985|-0.43726516|0.2737093|-0.71728075|0.085434854|0.73197895|-0.032850582|0.5974557|0.6697598|0.3064333|-0.7223595|0.728939|0.38635746|0.113968484|0.11614342|-0.25076357|-0.49912906|0.74127394|0.48590744|0.87932765|-0.73193467|-0.43377867|-0.6302371|0.21084136|-0.18687156|-0.6421675|0.50622135|0.58618796|-0.20780465|-0.30649498|-0.6445716|0.5996455|-0.71375525|-0.08616458|-0.493952|-0.7428499|0.35915923|-0.023709606|0.2596847|0.43947986|0.34139946|-0.64968514|-0.8054823|-0.49011195|0.06161061|-0.5445215|-0.6105782|0.42280838|-0.29944947|-0.505775|-0.5653422|-0.38384366|-0.20692939|-0.21010146|-0.81313205|0.029694814|-0.25021923|-0.30278465|-0.53606415|0.22782119|0.5233615|-0.16960996|-0.39578563|-0.73162574|0.67609066|-0.3513683|0.35389692|-0.6769438|0.13886921|-0.33247548|-0.549054|0.5727477|-0.5381205|0.25518072|-0.7723329|-0.5034632|0.56607455|0.007278402|0.3911052|0.3871392|-0.538168|0.6656308|0.4625643|-0.2906086|-0.6840097|-0.44622162|-0.42117825|-0.64414716|-0.35701278|0.22131293|-0.09768928|0.45487425|0.29121396|0.55654883|-0.6908153|0.20105068|-0.17583461|-0.171687|0.505071|0.7163502|0.4479872|0.57329935|-0.5500009|-0.20211938|0.77093834|0.27746427|-0.6377897|-0.07169822|0.2085497|-0.7031368|0.37357146|0.22154485|-0.7766106|0.44037315|0.70308363|-0.2745517|-0.78269905|0.056879938|0.56534535|0.54013723|0.50020015|-0.62803674|-0.6511419|0.6615343|0.1280243|-0.38231313|0.4474252|0.5935779|0.6321781|0.4935591|0.7570371|-0.579754|0.4371801|-0.6534355|-0.7631301|-0.5967869|-0.22932617|-0.29652548|0.5363703|0.11098342|0.14347266|-0.5502324|-0.39165628|-0.5559123|0.54320663|0.012999086|-0.34370464|0.42930612|0.39343|0.7870611|-0.61794955|0.57289636|0.50476956|0.5240816|-0.47458932|-0.5163184|0.47322834|0.47735703|0.37430796|-0.25107935|-0.30363342|-0.031561933|0.23112105|-0.4742779|-0.3681787|0.22404695|-0.3543913|0.36639363|-0.7827885|0.7366548|-0.19262311|0.45868325|-0.64179075|-0.452135|0.70772135|0.7314606|-0.5447644|-0.6503267|0.35248807|-0.21100414|-0.43449178|-0.45836902|-0.20194007|0.53551424|0.1589465|-0.56028986|0.670724|0.090799324|0.31471366|-0.62801594|0.7064689|0.5342068|-0.6069377|0.73506707|0.41782573|-0.45674592|-0.50127465|0.03657493|-0.63580096|-0.58342904|-0.7416645|-0.62966543|0.45841205|-0.13699244|0.69279087|0.6833836|-0.8158217|-0.068912834|-0.16864946|0.64460063|0.6499268|-0.34134772|0.012742741|0.24478017|-0.53574765|-0.39655793|-0.3720988|0.499757|-0.6003807|0.16739623|0.67128277|-0.21178776|0.6706216|0.6150304|0.34866264|-0.5497804|0.6753037|0.5015168|0.119063824|0.19737323|-0.5093666|0.3230764|-0.30166054|0.422443|0.58333826|-0.2687269|0.5024322|-0.5355924|0.49266005|-0.49258608|0.747715|0.48715574|-0.15024044|-0.44528976|-0.31892458|-0.51708144|0.563881|0.7620835|0.44488987|0.4776427|0.44160956|0.76757526|-0.18725535|-0.4451294|-0.66271096|-0.3141851|0.4346732|-0.7084515|0.123241685|-0.43575665|-0.46397775|0.5457287|-0.80366796|-0.56319267|-0.18037704|0.50698763|0.3588477|-0.34791115|0.4212593|0.68951434|-0.32415903|0.591234|-0.35449433|0.44788724|-0.2820422|0.83401734|-0.4170246|-0.49966213|0.51970816|0.3767407|0.23860244|-0.51436824|-0.52978176|0.5214545|0.6334972|0.45915136|0.2637542|0.095847666|0.62054884|-0.27560127|0.61813253|-0.3875828|0.581889|0.60373443|0.42671993|0.39488155|-0.6780907|0.4944639|0.62987554|0.6044559|0.66227263|0.9585752|0.3453285|0.7738394|-0.718477|0.48975813|-0.218208|-0.030366626|-0.77618724|-0.33419576|0.8197238|0.38715103|0.056670114|0.68675846|-0.2682365|0.54106706|0.38721055|-0.7715975|0.576026|-0.4301333|0.46970272|0.6452816|-0.23506676|-0.5866099|0.5509915|0.35947034|-0.7706754|-0.5262898|-0.10880534|0.5618846|0.1603597|-0.55550325|0.5422822|-0.26454455|-0.5711325|-0.29595953|-0.1794418|0.6789882|-0.02239498|0.38108686|-0.5917868|0.77567667|-0.49412844|-0.7307999|-0.52344346|0.47097835|0.48592055|0.469817|-0.5396551|0.32510704|-0.25330755|-0.444799|0.07408598|0.19434485|-0.5120364|-0.095490046|-0.49690506|-0.18772608|0.45409334|0.7053207|0.5501507|-0.45020556|-0.16668175|-0.41495714
2	MESH:C035657	Nico-Padutin	Chemical	-0.29657423|0.5325007|0.484221|0.21688724|0.4106507|-0.7107886|-0.39738092|0.32159594|-0.4690701|-0.7507988|0.4581694|-0.47507712|-0.12614895|-0.4924689|0.24563074|0.2752965|0.55992216|-0.3669758|0.35573924|-0.4367045|0.47100043|-0.6585347|0.44033715|0.41336498|0.3484707|0.5682104|-0.36028412|-0.69456476|0.39517847|-0.7468418|-0.6215914|-0.5427675|0.53780735|-0.16439433|0.39223486|0.27759197|-0.27856106|0.6017441|0.48493424|-0.19472285|-0.5505654|-0.6419686|0.26389906|0.53750515|-0.15845881|0.57522273|0.7025533|-0.10044943|-0.50971746|-0.07264917|0.50022113|0.2677054|-0.6708803|-0.37020826|0.5853881|0.42376927|-0.6453903|-0.38397622|0.6916807|0.46032852|0.7437799|-0.5954809|-0.30603933|-0.34773964|0.537594|0.42442086|0.76796716|-0.5240836|0.7645971|-0.54295564|0.6554912|-0.39178637|-0.595342|0.69067216|0.6187134|-0.65130323|-0.0056447973|0.48592162|-0.26678345|0.44023326|-0.3722574|0.53096586|-0.611467|-0.60654247|0.8016023|0.6856856|0.62911564|-0.18441437|0.111928016|0.72323304|0.46922234|0.23698273|-0.5405117|0.36709347|-0.6643331|-0.0005793182|-0.721721|0.5681926|-0.41261324|-0.4009352|0.59665066|-0.11268794|-0.35818124|-0.50719756|0.33495823|0.62885445|0.5662803|0.5550738|0.40248945|-0.52773017|-0.3489161|0.4796834|-0.47791025|0.22866376|-0.63217866|-0.49069375|-0.6368242|0.64649886|-0.6696283|-0.5084204|-0.5622799|0.55768377|0.51301944|-0.6511664|-0.68310493|0.23007295|-0.06997934|0.23311628|0.29934788|-0.64642096|0.56038606|0.15100282|-0.37355837|0.79362935|0.4984905|-0.6275919|-0.13964203|0.28957766|0.4450021|0.35088664|0.3485856|0.2828593|0.2227549|0.273239|0.5165427|0.3155526|0.44621778|0.46881428|-0.41911888|0.09796629|0.4273346|-0.47517544|-0.3600082|-0.67939836|0.4317269|0.2753457|-0.36130363|0.5017007|0.39248437|0.64657843|0.21964662|0.5215726|-0.50852966|-0.40239987|0.6187444|-0.6280224|0.40368423|0.5725734|0.036187932|-0.36783996|-0.46272844|0.46366876|0.5468329|-0.40604115|-0.6202808|0.627077|0.08614655|0.26972345|0.39067644|-0.8877858|0.31055227|0.59955233|0.34158492|0.26917872|-0.65021443|-0.50965077|-0.2743832|-0.20339975|-0.45793012|-0.47231925|-0.70860666|-0.6847631|-0.5798014|0.47453028|-0.4081793|-0.4660567|0.6570669|0.50502217|-0.40741372|0.48379678|0.42522597|0.47267133|-0.20172691|0.36108097|-0.6383499|0.52927357|-0.67572004|-0.4378822|0.32428616|0.56266576|-0.013177332|-0.57642937|-0.54463875|0.54660577|-0.6311472|-0.7352198|-0.6511968|-0.32897013|-0.49989942|0.13546821|-0.22324547|-0.44739202|-0.57048386|0.2892129|0.44649637|0.65529084|-0.37570405|0.1738784|0.049059674|-0.52673197|-0.603594|-0.71421766|-0.54403245|0.65084535|0.71067923|-0.34179908|0.3729842|0.3841582|0.6779128|0.2911587|-0.42684788|-0.33161464|0.68207407|0.7566962|0.10100105|0.2683493|0.6616697|-0.8340568|0.5726709|0.45629802|-0.45808488|0.5850996|0.5059911|-0.28752577|-0.08911208|-0.4086873|-0.042384002|0.4261787|0.45468253|0.58983123|0.38787326|0.30734247|-0.096519805|-0.7140937|0.40892714|-0.6289708|-0.4518375|0.6109867|0.05507107|-0.2645861|-0.6412405|0.7010162|-0.71494085|-0.2125418|-0.29346058|0.6190093|-0.3583977|0.6009302|-0.59553003|-0.44924727|0.13803713|-0.2933713|-0.7864825|-0.73868275|-0.6174313|-0.8008652|-0.32520944|-0.17624009|0.45083907|0.19077852|-0.39797524|0.6699643|0.18697143|0.1855931|-0.38213432|0.5689306|0.13087563|-0.3358241|0.38375932|0.56569755|-0.49458852|0.12894984|0.18887168|-0.58436847|-0.6772464|-0.4614034|-0.48099867|-0.424456|-0.28865346|-0.3260776|-0.47254962|0.5219478|0.5004572|-0.68672234|-0.45417312|-0.09456346|0.5942221|-0.59587884|-0.49753624|0.65991306|0.6210736|0.26322326|-0.46254873|-0.86688936|0.57083076|0.40600935|0.800904|-0.38939437|0.762197|0.58562976|-0.7061943|0.52849567|-0.5885326|0.5974529|0.59513557|0.6106814|-0.53826123|0.4334015|-0.2408935|-0.07320642|-0.59442365|0.5880938|-0.32078233|-0.49168286|0.358415|0.4540278|0.74022007|-0.64458615|0.3851995|0.5981116|-0.647091|-0.48425496|-0.3671834|-0.23740283|-0.54231215|0.5413386|0.47672027|0.06467283|0.5814876|-0.55943894|0.39214522|0.67310935|-0.668082|-0.1248461|0.7716363|-0.51760525|0.8008742|0.17035815|0.34950376|-0.22685404|0.3515027|-0.5292101|0.51354754|-0.4930154|0.38562894|0.44485667|-0.66174394|-0.2853775|-0.1224805|0.6316172|0.40321606|0.6184517|-0.5491372|-0.24516636|0.37776715|0.28637853|0.62674946|0.60805416|0.6335293|0.50859535|0.36965477|0.6902897|-0.7116575|0.60984796|-0.61397684|0.38449955|0.49873418|0.51852304|0.22563368|0.49126357
3	GO:0071362	cellular response to ether	BiologicalProcess	-0.7759805|-0.32667455|0.50274986|-0.31050894|0.38280472|-0.5012616|-0.3076355|0.6594382|-0.5527574|0.17227916|-0.1967993|-0.75797504|-0.50080603|-0.322483|-0.36941883|0.04364817|-0.43641502|-0.486739|0.26877025|0.41206208|0.6334908|-0.53801376|-0.56624573|0.7625495|0.41038293|0.619056|-0.27074185|-0.13650158|0.23207295|-0.6452356|-0.94189876|-0.3992836|-0.46936968|-0.24901854|0.44115934|-0.3362205|-0.3697917|0.2718057|0.5727695|0.29674175|-0.4147441|-0.6953324|0.5160153|0.5807281|-0.7792144|0.5735457|0.54378|0.43284926|-0.4649591|-0.28263134|0.4901713|0.3411863|-0.4649771|-0.24752347|0.5221626|0.5521876|-0.631644|0.08064762|0.6383115|0.53348625|0.72369844|-0.15300009|-0.40589836|0.7283041|-0.36843637|-0.090600744|0.67077595|-0.47570214|0.55533504|0.20870431|0.5839992|-0.88762456|-0.31767878|0.21368481|0.6373179|0.030239051|-0.03746848|0.4811084|-0.097023055|0.6315763|-0.54625845|0.4461748|0.2847876|-0.7435348|0.25679478|0.5484256|0.31652564|-0.5910325|0.43188593|0.5285818|0.5949819|-0.30952457|-0.34673145|-0.12948216|-0.45545176|0.104570106|-0.717745|-0.39516804|-0.42648533|0.47608954|0.4415541|0.74003595|-0.57502383|-0.46012783|-0.653341|0.488026|0.56607795|0.69654167|0.5734407|0.26125905|0.44550505|0.7332117|-0.6890643|0.49136835|-0.4798754|-0.22506423|-0.78927153|0.67612755|-0.5086217|-0.37720075|-0.38458467|0.16318856|0.31062263|-0.45308617|-0.62622297|0.58993715|0.45244628|0.38914645|0.5208541|-0.6039767|-0.5983461|0.24073404|0.9415166|0.7035957|0.4817088|-0.6633|-0.39728057|-0.098087974|-0.30078036|-0.48882496|0.5677864|0.27665246|0.54963386|0.1391997|0.8427091|-0.6499326|0.1389766|0.42048416|-0.48244318|0.63077885|0.4819458|-0.75592345|0.035128307|-0.21531284|-0.31081718|0.5526386|-0.41548383|0.72089875|0.3825282|0.53282076|0.38495743|0.46182913|0.15648031|-0.6822144|0.6239636|-0.37338772|0.5552614|0.79930645|0.044142194|-0.55533034|-0.32657373|0.54401463|0.71387535|-0.081567936|-0.5637395|0.67226726|-0.5079979|0.7190504|-0.35173893|-0.40456426|0.1258317|-0.4166798|0.28407207|-0.4680098|-0.48097536|-0.23512018|0.48755872|0.33699498|-0.7509428|-0.62662965|-0.41366372|-0.5654658|-0.6392808|0.49643338|-0.516389|-0.75354415|0.82246494|0.66331446|-0.15541553|-0.14833787|-0.04946423|0.5274829|-0.04209871|0.5900368|-0.41219097|-0.06486744|-0.53534317|-0.10120017|0.6100773|0.5310729|0.697979|-0.38901454|-0.22793439|-0.30090135|-0.7123664|-0.661506|0.165269|0.41015217|0.46991315|0.31325343|-0.19233187|0.038114514|-0.48728004|0.1384667|0.5134693|0.6836223|0.15354274|0.33009014|-0.0059600766|-0.25550553|-0.81287915|-0.720908|-0.51292676|-0.4682362|0.644354|0.37180892|-0.47928935|-0.6493105|0.26567477|0.31361106|-0.66096073|-0.67411876|0.3611337|0.57769585|-0.2290995|0.54464114|0.36413172|-0.06732145|0.05887599|0.36297286|-0.6691685|0.19051488|0.53728265|-0.6580845|-0.40304264|-0.7385378|-0.17304742|0.41619134|0.45784467|-0.29420856|-0.0024544278|0.085207626|-0.660501|0.40169296|0.83014333|-0.48701242|0.04467514|0.5869544|-0.47827896|-0.59958524|-0.1127775|0.5994912|-0.6977409|-0.69206756|-0.3944433|0.40269855|-0.06786855|0.60082483|-0.51012725|-0.33547518|0.5809839|-0.3767799|-0.53655934|-0.73775023|-0.44329828|-0.66826487|0.44558388|0.24478748|0.051473163|0.5717459|0.6352284|0.3670615|-0.10542009|0.06701708|-0.6668102|0.52536523|0.17892043|0.72931886|0.539921|0.5216983|-0.46353886|0.45663607|0.085521095|-0.33579454|-0.58141595|-0.3622925|-0.58894414|-0.24771209|-0.3752046|0.5187872|-0.5777102|-0.13161416|0.19039658|-0.41704616|0.3193158|-0.34532785|0.62211823|-0.7050834|-0.40112665|0.494664|0.3673845|0.47791836|-0.583865|-0.6000455|0.5411715|0.52934176|0.36006278|0.35689235|0.5324095|0.5164081|-0.46022448|0.6191015|-0.48785427|0.62321794|0.42754966|0.81212103|-0.19281313|0.33344632|-0.3329974|0.22202674|-0.7110934|0.27947876|-0.6915204|-0.478144|-0.41569713|0.7464555|0.6892439|-0.07970755|-0.37048638|0.38321078|-0.456933|-0.46805766|-0.64464533|0.24937427|-0.51528126|0.30139655|0.3304329|0.66123927|0.42354015|0.42014527|0.6649804|0.45784187|-0.601618|-0.32239285|0.4684365|-0.47828183|0.5978451|-0.14334801|-0.14052454|-0.2986641|0.44966745|-0.36276793|0.50271153|-0.53467053|-0.40344512|0.18679765|-0.22499962|0.32376367|0.25766927|-0.3622175|-0.09952954|0.7843559|-0.614194|-0.77442443|0.55462325|0.63368326|0.055052053|0.71164876|0.05414461|0.46758616|-0.49483907|0.3064472|0.31386837|0.2408204|0.11470658|0.30730066|0.4364394|-0.04799708|0.5784628|0.6315257
4	HMDB:HMDB0108363	TG(i-18:0/i-15:0/12:0)	Metabolite	-0.6978567|-0.49400538|-0.55759555|-0.11976198|-0.17859074|-0.057232853|-0.6449918|-0.55590445|0.2585172|0.18101491|0.08962532|0.12087768|-0.5176357|0.27735034|-0.488698|-0.6721403|-0.16544424|-0.32602695|-0.17488322|-0.21647368|0.39323217|0.35675448|0.51820093|0.6701013|0.17999472|-0.39797464|-0.31691778|-0.8102733|0.09375141|-0.24983321|0.44610694|-0.35381588|-0.018756565|0.56765807|-0.7405122|0.55527765|0.54905593|-0.6968014|-0.7522274|0.2622313|0.62070245|-0.052153666|-0.18170094|0.2769008|-0.8287488|-0.50905216|-0.0035300355|0.61872727|0.23870365|0.22363755|0.2586746|-0.29550025|-0.38372388|0.313556|-0.3681785|0.54794997|-0.270363|0.6729299|0.061791062|0.8395325|0.18087657|-0.6985984|-0.19039965|0.14983948|0.5045523|1.0875115|0.3827821|0.46168676|0.36162713|0.29496625|1.0825344|0.091369264|-0.22217616|0.5997436|0.35564286|0.18200295|0.88960356|0.23656349|-0.9121982|-0.2762147|0.5735104|0.5684045|-0.44995192|0.14449404|-0.32054433|-0.33424747|0.59476745|-0.47330165|-0.21309099|-0.10756929|-0.17758642|-0.06087657|-0.09470944|0.5806886|0.5659278|-0.15249285|-0.8079044|0.6719524|-0.7323422|-0.6857263|0.5264304|-0.48957273|-0.5015053|-0.17692061|-0.47101584|-0.5487589|-0.11585539|0.38989684|-0.40556252|-0.13079341|0.20951466|0.075670876|-0.69287497|-0.18705733|0.14152971|-0.35780317|-0.6503698|-0.51715684|0.45171115|-0.81776476|0.37091208|0.03050891|1.0477945|0.2089025|-0.4707487|-0.40820423|-0.35674223|-0.40511233|0.49769452|0.18721756|1.0407065|0.9838237|-0.10970438|-0.44063562|0.6092912|0.043434568|0.1311512|-0.9182571|-0.6753255|-0.5438968|0.6982583|0.22808167|0.3780694|-0.06807702|-0.8048544|0.026237259|-0.7858642|-0.3521173|0.40074158|0.006061212|-0.026578156|-0.20002918|-0.05091032|0.75295675|0.43407944|0.36388832|0.38437843|-0.52063656|-0.71068114|-0.69560975|0.109194145|0.5986231|-0.291889|-0.59055686|0.4087861|0.35082206|0.21084231|0.8662922|-0.30377465|-0.013438148|-0.62702036|0.2803045|-0.12803605|-0.39928305|0.129613|-0.15026608|0.07278412|-0.42453468|-0.3999086|0.44085327|-0.27949774|0.55141354|0.70004874|-0.8104427|0.71136034|-0.30119953|-0.77902704|-0.66041446|0.114852294|0.45468965|-0.17430945|-0.3722767|0.72935027|0.49753514|-1.1000677|-0.0560607|0.5943065|0.5142512|-0.12120328|0.2955476|0.12477193|-0.2652648|0.48654547|-0.3983303|0.25352818|-0.18410248|0.22999145|-0.6340308|-0.46449652|0.15426165|0.3958249|0.7326351|-0.37702364|-0.2792142|-0.68422407|-0.8230119|-0.53655565|0.5828514|0.3168977|0.03993058|-0.6705057|-0.041975453|-0.19227536|0.78559905|-0.32870874|-0.021977384|0.40745866|0.019863926|-0.56341064|0.5874501|-0.5767944|0.6626156|0.5160354|-0.7230042|-0.13345268|0.64636266|0.09408341|0.31572908|-0.51295346|0.41432106|0.5042536|0.1499981|-0.32788384|0.2076087|-0.3877801|-0.29122195|0.024749935|0.9399712|-0.5997043|-0.22548994|0.53365827|-0.079667754|0.5842354|0.16625948|-0.08627178|0.3370641|0.1817692|-0.27160844|-0.27738827|-0.14758296|-0.13106377|0.5111584|0.094253935|0.3882266|-0.5082002|0.23900223|0.14000435|0.1849658|-0.108320855|0.34797427|-0.4695115|0.020700375|-0.4743835|-0.12791836|0.3941832|0.2981604|0.08832071|0.32765993|-0.31332862|0.6452974|0.09249799|0.37252554|0.15929276|-0.22948961|-0.06011412|0.12326585|0.48939353|-0.5665544|-0.51963|-0.38404033|0.8220515|0.19105494|0.38157037|-0.76756465|-0.118612766|-0.39550537|-0.20129332|-0.014597533|0.39339617|-0.5135892|-0.2304855|-0.47102702|0.4287889|-0.41321436|0.018775338|-0.16471286|0.2426873|0.40099877|-0.40368825|-0.11601967|-0.015397413|0.39947933|-0.6794275|0.13368548|-0.026302552|-0.18718573|-0.60347646|0.35039085|0.2859447|0.85532004|0.6456157|0.14695069|0.55780613|0.10925991|-0.08791591|-0.31768653|0.64375585|0.3041661|0.37963012|0.29100907|-0.6143513|0.6099261|1.0012923|-0.32901672|0.30852205|0.7693601|-0.699202|-0.3550847|0.7578512|-0.5920835|-0.32507807|-0.32821292|-0.6882204|0.30249923|-0.46068478|-0.036479868|0.7468221|0.003973296|0.5037732|-0.05472371|-0.23391613|-1.0120897|-0.6704171|0.046984296|0.44834438|-0.29736826|0.55203557|0.13369551|0.3131177|-0.3072833|-0.2248445|0.15638345|0.11178217|-0.56604254|0.6067441|-0.13301241|-0.22480258|0.22592257|-0.35501337|-0.14667514|0.0957673|0.7501771|-0.21786772|0.6794609|-0.32252306|-0.5218819|0.44244567|-0.75495857|0.40302688|-0.15694615|0.7158195|0.5170536|0.77626157|0.83724195|-0.18787578|-0.31952712|0.6721784|0.46264854|-0.37034786|0.14619134|0.6906745|-0.19515942|0.51026046|-0.29493618|0.062497687|0.07780886|-0.0010391319|0.109359555|0.38084483|-0.28772604
5	NDF-RT:N0000150021	I-L-X B12 TAB	PharmacologicClass	-0.59670424|0.12598735|-0.3215713|-0.7260565|0.33547598|0.24073456|-0.4386074|-0.316012|0.1799138|0.10132335|-0.4476052|-0.2547187|-0.41789833|-0.21429577|0.3792554|0.2834432|-0.7893235|0.26610097|0.08659679|-0.62525165|0.21619895|0.116052136|-0.07121694|-0.028027177|0.80321044|0.4361181|-0.11501222|-0.050621092|0.41140252|0.17249325|0.5271997|0.4793219|0.54274255|-0.17453894|0.50448793|-0.17276864|-0.37155417|0.58827704|-0.7620968|-0.47462225|-0.61928874|0.65006757|0.4033955|-0.45671362|-0.50985825|0.37733054|0.6863634|0.1152848|-0.85050553|-0.48602685|-0.16125742|-0.6118137|-0.6866741|-0.76820403|0.42765766|-0.21085499|0.4662779|-0.081318825|0.32568035|0.67293966|-0.7168171|-0.47613886|0.7427772|0.30693302|0.24294291|0.91765904|0.33448482|0.30622908|-0.16883205|0.6089021|0.63918424|0.73703206|-0.33156675|0.4839361|0.6338779|0.21517244|0.4363567|-0.19767074|0.5819797|-0.09429349|-0.722825|0.7606458|0.29306483|-0.6349163|0.5259265|-0.4979798|0.40658072|-0.12167159|0.018643865|-0.59908736|0.30120638|0.11421053|-0.07457935|0.46297663|0.23812708|0.20036969|0.21648808|0.577165|0.6421519|0.781981|0.57123625|-0.29268923|0.23101084|0.11101736|-0.6573238|0.8732863|0.75923157|0.077208534|0.5878431|-0.119534634|0.17917295|0.18158571|-0.7334315|-0.02091292|0.1570327|0.23592183|-0.44887197|0.47235605|0.24813712|-0.38744318|0.6390033|0.579449|0.3549555|0.39435554|-0.8216911|0.01993045|0.5438696|-0.19137931|0.022932628|0.36083275|0.281313|0.4303943|0.44444394|-0.48804832|0.52121395|0.36946735|-0.36773527|0.38315856|-0.8914896|0.6368445|-0.60988057|0.7046652|0.45758858|0.4549647|0.2957878|0.17471811|0.5707268|-0.616399|0.2092611|0.36142653|-0.9312314|-0.46335757|0.14022186|-0.7446096|0.59832203|0.53500015|-0.15017563|0.5093432|0.10907896|-0.26987287|0.36016172|0.35113528|0.6510746|-0.66696006|-0.58287656|-0.85841334|0.40730265|0.6914557|0.2486533|-0.09597617|0.33680946|0.51231873|0.45694986|-0.67404425|-0.39670214|0.6702727|0.4148455|0.121608004|0.6938771|0.24773553|-0.0373882|-0.07959422|-0.7748804|-0.73500717|0.40963233|-0.63463193|0.6090966|0.7267559|-0.309147|0.43282962|-0.1261156|-0.0049258145|-0.06109752|0.34497535|0.059076097|-0.21222885|-0.2087267|-0.65219|-0.0278092|-0.6658264|0.6617863|0.35920358|-0.19410343|-0.09629862|-0.058946863|0.23797823|-0.13593678|-0.10833427|0.362356|-0.30297887|-0.68184006|0.46773747|-0.7540865|0.39586315|-0.3222882|0.47166303|0.46584985|-0.34356323|-0.3605156|-0.8452967|0.33738145|0.07935727|-0.03523343|-0.30874738|0.7371514|-0.008440803|-0.27966785|0.51885265|-0.3076261|-0.57775956|0.07944653|-0.4617502|0.15003756|-0.29518896|0.082918905|0.024037939|-0.57849437|0.23537345|-0.48385343|-0.61940455|0.80411816|-0.62652487|0.394538|-0.42448318|0.52724725|0.6010604|-0.061418306|0.075193346|0.29838893|-0.36245286|-0.5305964|0.7308334|0.36935943|0.38208455|0.4264371|0.3909366|-0.5817135|-0.6910931|0.5933084|-0.58644307|0.8244679|0.21127008|-0.17967571|0.45529053|-0.71212345|0.19679466|0.109771624|0.36881596|-0.28821862|0.83136946|-0.6068388|-0.008454339|0.19871534|-0.67258877|0.66081256|-0.25840423|-0.5427084|-0.08108159|0.07834507|-0.74746996|0.5396879|0.94796497|0.17081317|0.25344235|-0.6296419|0.022202004|-0.81690764|-0.818059|-0.29727826|-0.7967319|0.23356193|0.3333741|-0.17498846|-0.5268282|-0.15257987|-0.063921444|-0.37259775|-0.14231564|0.8745193|-0.4955225|-0.20853016|-0.48749474|-0.55343187|0.656398|-0.46267012|0.46723896|0.37527615|-0.4818492|0.061993357|0.6088136|-0.029002035|-0.5569336|-0.84997827|0.75745505|0.12874188|0.20342389|0.7070265|-0.256342|-0.6755829|0.5999061|0.7268604|0.20344537|-0.55092746|0.45162883|-0.69367534|0.36638495|-0.50715435|0.1699245|0.7438854|0.37682244|-0.21284182|0.27741167|0.5027977|-0.15500516|-0.4285206|-0.48565793|-0.32441247|-0.31669158|-0.27377102|-0.4073533|-0.0685781|0.071787246|-0.91166675|0.17629343|0.3730595|0.47129354|0.30470872|0.62421256|-0.5390104|0.72661895|-0.6198684|-0.16576645|-0.18641527|-0.2912777|0.82191414|-0.08326988|0.74391216|-0.49718404|0.1731888|-0.35163698|0.2535178|0.15472741|-0.011698336|-0.27467397|-0.6373315|-0.67843056|0.03191319|0.4731596|-0.5655835|0.05192526|0.15822284|0.6672232|-0.7462572|0.45108524|0.5370016|0.1559603|-0.6662584|0.50673157|0.10941021|-0.287739|-0.4673421|0.569514|0.4054732|-0.47974876|0.26319233|-0.1836836|-0.35461023|0.7807473|-0.14398536|0.52931595|-0.08754085|0.07740114|-0.2215969|-0.7506974|-0.1853569|0.4792585|0.30047148|-0.19219401|0.4246909|0.15977871
